1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NaN,NaN,NaN,19880905,19890814,19900930,19910822,19920916,19931128,19940915,19951008,19961010,19970722,19980624,19991026,20001103,20010801,20020601,20030328,20041011,20050703,20060430,20070601,20080710,20090722,20100626,20110729,20120820,20131014,20141027,20151008
NaN,NaN,NaN,19880906,19890813,19901006,19910818,19920918,19931202,19940920,19951001,19961018,19970727,19980612,19991109,20001105,20010730,20020601,20030327,20040621,20050812,20060505,20070531,20080720,20090722,20100627,20110809,20120907,20131014,20141027,20151003
NaN,NaN,NaN,19880903,19890819,19901007,19910829,19920912,19931201,19940926,19951024,19961023,19970728,19980611,19991028,20001107,20010730,20020530,20030329,20040607,20050716,20060501,20070603,20080804,20090804,20100627,20110809,20120820,20131014,20141027,20151007
NaN,NaN,NaN,19880902,19890825,19901026,19910821,19921120,19931130,19940924,19951002,19961022,19970729,19980610,19991108,20001107,20010729,20020601,20030403,20040610,20050715,20060508,20070606,20080716,20090728,20100627,20110908,20120907,20131110,20141022,20151013
NaN,NaN,NaN,19880914,19890829,19901024,19910819,19920918,19931215,19940926,19951010,19961025,19970730,19980612,19991112,20001110,20010801,20020601,20030401,20040606,20050814,20060507,20070817,20080718,20090727,20100702,20110809,20120907,20131014,20141022,20151028
NaN,NaN,NaN,19880909,19890828,19901013,19910821,19920924,19931213,19941013,19951012,19961026,19970801,19980611,19991102,20001117,20010901,20020606,20030514,20041001,20050727,20060529,20070612,20080825,20090804,20100707,20110809,20120829,20131014,20141027,20151028
NaN,NaN,NaN,19880906,19890925,19901017,19910824,19920926,19931215,19941023,19950930,19961107,19970805,19980627,19991115,20001118,20010801,20020606,20030408,20040612,20050718,20060513,20070614,20080808,20090729,20100714,20120109,20120829,20131110,20141116,20151028
NaN,NaN,NaN,19880918,19890905,19901015,19910830,19920922,19931215,19941022,19951016,19961110,19970729,19980625,19991128,20001202,20010804,20020613,20030410,20040611,20050711,20060517,20070616,20080720,20090804,20100713,20110809,20120829,20131208,20141027,20151028
NaN,NaN,NaN,19880926,19890910,19901018,19910905,19920923,19931212,19941022,19951002,19961110,19970803,19980709,19991202,20001122,20010804,20020609,20030408,20040621,20050728,20060522,20070613,20080729,20090805,20100715,20110908,20120926,20131119,20141220,20151028
NaN,NaN,NaN,19881005,19890912,19901019,19910914,19920927,19931227,19941020,19951003,19961113,19970804,19980615,19991231,20001126,20010805,20020613,20030417,20040623,20050720,20060514,20070609,20080730,20090810,20100706,20111115,20120829,20131119,20141116,20151028
NaN,NaN,NaN,19880926,19890918,19901028,19910908,19921008,19931229,19941027,19951019,19961117,19970807,19980615,19991206,20001123,20010812,20020618,20030416,20040615,20050719,20060528,20070624,20080808,20090808,20100707,20110913,20120829,20131119,20141116,20151028
NaN,NaN,NaN,19880921,19890924,19901029,19910908,19920928,19931218,19941031,19951008,19961125,19970811,19980614,19991210,20001130,20010913,20020629,20030425,20040615,20050722,20060522,20070618,20080729,20090810,20100715,20111101,20120907,20131119,20141116,20151028
