,region,district,year,month,mean_mon_rainfall_mm
836,Brong Ahafo,Sunyani Municipal,1981,2,22.397764
837,Brong Ahafo,Sunyani West,1981,2,21.98841
838,Central,Upper Denkyira West,1981,2,51.984932
839,Central,Upper Denkyira East,1981,2,58.240334
840,Central,Awutu Senya,1981,2,50.89681
841,Central,Effutu,1981,2,36.12047
842,Western,Prestea / Huni Valley,1981,2,46.595814
843,Western,Tarkwa Nsuaem,1981,2,40.53494
844,Western,Sefwi Wiawso,1981,2,35.523315
845,Western,Sefwi Akontombra,1981,2,43.804478
846,Greater Accra,Ga West,1981,2,38.804848
847,Greater Accra,Weija (Ga South),1981,2,43.99855
848,Greater Accra,Adenta,1981,2,28.319952
849,Greater Accra,Tema,1981,2,28.850773
850,Greater Accra,Ashaiman,1981,2,32.041245
851,Greater Accra,Ledzokuku / Krowor,1981,2,21.84472
852,Greater Accra,A M A,1981,2,24.76343
853,Volta,Biakoye,1981,2,23.661135
854,Eastern,Birim South,1981,2,82.08004
855,Eastern,Birim Central Municipal,1981,2,80.989494
856,Eastern,Kwahu East,1981,2,58.294197
857,Eastern,Kwahu South,1981,2,61.36707
858,Ashanti,Adansi South,1981,2,39.45364
859,Ashanti,Bosome Freho,1981,2,41.06692
860,Ashanti,Sekyere South,1981,2,16.620014
861,Ashanti,Sekyere Central,1981,2,18.597439
862,Ashanti,Mampong Municipal,1981,2,11.846273
863,Ashanti,Offinso North,1981,2,21.191021
864,Ashanti,Offinso Municipal,1981,2,26.284546
865,Ashanti,Ejisu Juaben,1981,2,28.195663
866,Ashanti,Sekyere East,1981,2,35.815033
867,Central,Agona East,1981,2,70.66198
868,Central,Agona West,1981,2,62.85208
869,Eastern,Lower Manya Krobo,1981,2,43.785065
870,Eastern,Upper Manya Krobo,1981,2,50.22592
871,Western,Shama,1981,2,26.303635
872,Western,Sekondi-Takoradi,1981,2,29.525587
873,Western,Mpohor-Wassa East,1981,2,36.45995
874,Western,Nzema East,1981,2,44.752987
875,Western,Ellembelle,1981,2,45.4418
876,Ashanti,Bekwai Municipal,1981,2,27.376877
877,Ashanti,Kwabre East,1981,2,20.191582
878,Ashanti,Afigya Kwabre,1981,2,20.006826
879,Ashanti,Atwima Kwanwoma,1981,2,38.038998
880,Ashanti,Bosumtwi,1981,2,27.194164
881,Eastern,Birim North,1981,2,82.62244
882,Eastern,Akyemansa,1981,2,74.560104
883,Brong Ahafo,Sene,1981,2,13.83824
884,Ashanti,Sekyere Afram Plains,1981,2,30.46043
885,Eastern,Kwahu North,1981,2,34.94057
886,Central,Gomoa West,1981,2,46.60246
887,Central,Gomoa East,1981,2,45.069496
888,Volta,Akatsi,1981,2,29.838552
889,Volta,Hohoe,1981,2,32.141594
890,Volta,Kadjebi,1981,2,19.430206
891,Northern,Zabzugu-Tatale,1981,2,3.9239442
892,Upper East,Garu Tempane,1981,2,2.1001124
893,Northern,Bunkpurugu Yonyo,1981,2,1.8302795
894,Northern,Nanumba South,1981,2,4.1927
895,Volta,Ho,1981,2,43.07168
896,Volta,Adaklu Anyigbe,1981,2,42.05854
897,Northern,Chereponi,1981,2,2.3630679
898,Northern,Saboba,1981,2,2.8138485
899,Volta,Jasikan,1981,2,23.58842
900,Volta,Ketu North,1981,2,26.141964
901,Volta,Ketu South,1981,2,21.67985
902,Volta,Nkwanta North,1981,2,4.68535
903,Volta,Nkwanta South,1981,2,9.091867
1186,Ashanti,Ahafo Ano North,1981,3,190.04637
1187,Ashanti,Ahafo Ano South,1981,3,213.652
1188,Ashanti,Amansie West,1981,3,179.06256
1189,Ashanti,Asante Akim North,1981,3,191.5869
1190,Ashanti,Asante Akim South,1981,3,196.1379
1191,Ashanti,Ejura Sekye Dumasi,1981,3,181.47449
1192,Brong Ahafo,Asutifi,1981,3,204.27448
1193,Brong Ahafo,Berekum,1981,3,219.53781
1194,Brong Ahafo,Techiman,1981,3,220.74725
1195,Central,Ajumanku / Enyan / Essiam,1981,3,141.28656
1196,Central,Abura / Asebu / Kwamankese,1981,3,133.2891
